,Unnamed: 0,bed,bathroom,location,year_built,heating,air_conditioner,basement,security,construction,Floor,fireplace,Roof,Parking,Property_type,zipcode,area,county,salary,price
1400,1401,1.0,1.0,"DENVER, CO 80202",2009.0,"Forcedair, Heatpump",Centralair,,,,Wood,,,1.0,Residential,80202,926 SqFt.,Denver,31295.0,"$479,000"
712,713,2.0,1.0,"DENVER, CO 80218",1885.0,"Electric, Forcedair",,,,,"Laminate, Tile, Wood",,,1.0,Residential,80218,"1,224 SqFt.",Denver,33162.0,"$550,000"
4518,4572,2 bed,1 bath,,1951.0,Forced Air,Central Air,,,,"Tile,Wood",,Composition,1.0,Multi Family,80211,$671 / sq ft,Denver,35753.0,"$595,000"
2505,2506,"2
Beds","1
Bath","665 S Clinton Street #15B, Denver, CO 80247","This home is located at 665 S Clinton Street #15b Denver, Co 80247 Us and has been listed on Homes.com since 14 January 2022 and is currently priced at $178,000, approximately $205 per square foot. This property was built in 1963. 665 S Clinton Street #15b is within the school district(s) Denver Public Schools with nearby schools including Place Bridge Academy and George Washington High School. Similar properties nearby are 2700 S Holly St 112, 10732 E Exposition Ave 121, 705 S Alton Way, 9355 E Center Ave 2d, 10772 E Exposition Ave 142, 1075 S Elkhart Way 203, 6800 E Tennessee Ave 433, 700 S Alton Way 2b, 12126 E Kepner Pl, and 585 S Alton Way.",Heating Details: Baseboard,Cooling Details: Air Conditioning Room,,,"Construction Materials: Brick, Concrete","Flooring: Carpet, Parquet, Tile",,Roof: Other,Garage: 1 0,Building Features: Low Rise 1 3,80247,"870
Sq. Ft.",Arapahoe,50411.666666666664,"$178,000"
209,209,1-2 Beds,1-2 Baths,"Denver, CO 80222",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80222,,Denver,41932.0,"$1,605 - $2,190/mo"
3908,3947,2 bed,1 bath,,1997.0,Forced Air,Central Air,,,,"Carpet,Laminate,Tile",,Composition,,Condominium,80247,$301 / sq ft,Arapahoe,50411.666666666664,"$300,000"
1289,1290,3.0,2.0,"DENVER, CO 80209",1951.0,"Forcedair, Naturalgas",Centralair,,,,"Tile, Wood",,,2.0,Residential,80209,"1,376 SqFt.",Denver,57519.0,"$699,900"
449,450,1-2 Beds,0-1 Bath,"Denver, CO 80210",Year Built: 1961,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80210,,Denver,49953.0,"$1,175 - $1,755/mo"
4056,4096,5 bed,3 bath,,1942.0,Forced Air,Central Air,,,,"Carpet,Vinyl",,Composition,,,80220,$292 / sq ft,Denver,44475.0,"$725,000"
3694,3730,2 bed,1 bath,,1945.0,Hot Water,Central Air,,,,"Carpet,Tile,Wood",,Composition,,Townhouse,80220,$326 / sq ft,Denver,44475.0,"$415,000"
958,959,4.0,4.0,"DENVER, CO 80209",1901.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Wood",,,2.0,Residential,80209,"2,962 SqFt.",Denver,57519.0,"$1,200,000"
1793,1794,2.0,1.0,"DENVER, CO 80221",1924.0,,None,,,,Wood,,,,Residential,80221,"1,143 SqFt.",Adams,39522.0,"$595,000"
3937,3976,4 bed,0 bath,,1925.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Tile,Wood",,Composition,2.0,Single Family Residence,80207,$456 / sq ft,Denver,41722.0,"$1,189,000"
654,655,3.0,3.0,"DENVER, CO 80218",1923.0,"Hotwater, Naturalgas",None,,,,"Carpet, Tile, Wood",,,1.0,Residential,80218,"1,926 SqFt.",Denver,33162.0,"$1,090,000"
2384,2385,2.0,2.0,"DENVER, CO 80202",1980.0,Forcedair,Centralair,,,,"Laminate, Tile",,,1.0,Residential,80202,"1,283 SqFt.",Denver,31295.0,"$629,000"
3817,3854,2 bed,2 bath,,1998.0,Forced Air,Central Air,,,,"Carpet,Laminate",,"Architectural,Shingle",,Condominium,80123,$331 / sq ft,Jefferson,63482.0,"$344,900"
4120,4163,1 bed,1 bath,,1930.0,,Central Air,,,,,,Flat,1.0,,80202,$483 / sq ft,Denver,31295.0,"$795,000"
1760,1761,3.0,4.0,"DENVER, CO 80220",1954.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80220,"4,847 SqFt.",Denver,44475.0,
2331,2332,2.0,2.0,"DENVER, CO 80239",1983.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80239,"1,703 SqFt.",Denver,44094.0,
2715,2716,"2
Beds","3
Baths","891 14th Street #2309, Denver, CO 80202","This home is located at 891 14th Street #2309 Denver, Co 80202 Us and has been listed on Homes.com since 24 June 2021 and is currently priced at $999,999, approximately $601 per square foot. This property was built in 2009. 891 14th Street #2309 is within the school district(s) Denver Public Schools with nearby schools including Greenlee Elementary School, Strive Prep - Kepner, and West Leadership Academy. Similar properties nearby are 1750 Wewatta St 1109, 891 14th St 3209, 1930 Grove St, 4200 W 17th Ave 418, 891 14th St, 2001 Lincoln St, 1920 Grove St, 891 14th St 2309, 3183 Eliot St, and 1610 Little Raven St 412.",Heating Details: Forced Air,Cooling Details: Central Air,,,Construction Materials: Concrete,Flooring: Wood,,Roof: Unknown,Garage: 3 0,Building Features: High Rise 8,80202,"1,664
Sq. Ft.",Denver,31295.0,"$999,999"
2024,2025,1.0,1.0,"DENVER, CO 80218",1965.0,Baseboard,,,,,"Laminate, Tile",,,1.0,Residential,80218,708 SqFt.,Denver,33162.0,"$284,900"
411,412,1-2 Beds,1-2 Baths,"Denver, CO 80260",Year Built: 1985,,,,,,,,,,Property Type: Apartment,80260,,Adams,37468.0,"$1,307 - $1,628/mo"
1774,1775,2.0,2.0,"DENVER, CO 80247",1982.0,Forcedair,Centralair,,,,"Carpet, Tile",,,1.0,Residential,80247,"1,019 SqFt.",Arapahoe,50411.666666666664,"$277,900"
1849,1850,4.0,1.0,"DENVER, CO 80219",1955.0,"Forcedair, Naturalgas",Evaporativecooling,,,,Vinyl,,,2.0,Residential,80219,"1,116 SqFt.",Denver,36565.0,"$479,500"
3176,3182,1,1,"Denver, CO 80203",1958.0,,,,,,,,,,Condo,80203,632,Denver,27444.0,"$285,000"
3164,3169,6,4,"Denver, CO 80206",1923.0,,,,,,,,,,Single Family Residential,80206,"5,084",Denver,40879.0,"$1,700,000"
2600,2601,"3
Beds","3
Baths","891 14th Street #4010, Denver, CO 80202","This home is located at 891 14th Street #4010 Denver, Co 80202 Us and has been listed on Homes.com since 22 November 2021 and is currently priced at $1,350,000, approximately $607 per square foot. This property was built in 2009. 891 14th Street #4010 is within the school district(s) Denver Public Schools with nearby schools including Greenlee Elementary School, Strive Prep - Kepner, and West Leadership Academy. Similar properties nearby are 891 14th St 4010, 1718 N Gaylord St, 925 Lincoln St, 1361 Elizabeth St, 844 N Humboldt St 1, 2801 Lawrence St, 180 Cook St, 2815 Curtis St, and 1537 Harrison St.",Heating Details: Heat Pump,Cooling Details: Central Air,,,Construction Materials: Concrete,"Flooring: Carpet, Wood",,,Garage: 2 0,Building Features: High Rise 8,80202,"2,223
Sq. Ft.",Denver,31295.0,"$1,350,000"
4290,4337,2 bed,1 bath,,1971.0,Forced Air,Central Air,,,,,,Tar/Gravel,,,80209,$456 / sq ft,Denver,57519.0,"$580,000"
4749,4810,3 bed,1 bath,,1925.0,Forced Air,,,,,Wood,,Composition,1.0,Single Family Residence,80220,$340 / sq ft,Denver,44475.0,"$770,000"
3668,3703,1 bed,1 bath,,1958.0,Forced Air,Central Air,,,,Laminate,,Rolled Hot Mop,,Condominium,80218,$496 / sq ft,Denver,33162.0,"$299,900"
3593,3627,3 bed,1 bath,,1904.0,Forced Air,"Central Air,Evaporative Cooling",,,,"Carpet,Tile,Wood",,Composition,2.0,Single Family Residence,80218,$401 / sq ft,Denver,33162.0,"$774,000"
2640,2641,"4
Beds","3
Baths","3102 S Leyden St, Denver, CO 80222","This home is located at 3102 S Leyden St Denver, Co 80222 Us and has been listed on Homes.com since 16 December 2021 and is currently priced at $809,900, approximately $345 per square foot. This property was built in 1961. 3102 S Leyden St is within the school district(s) Cherry Creek Schools with nearby schools including Holly Ridge Primary School, West Middle School, and Cherry Creek High School. Similar properties nearby are 5305 E Iowa Ave, 5325 E Atlantic Pl, 1644 S Hudson St, 8741 E Layton Ave, 1746 S Elm St, 3102 S Leyden St, 8385 E Princeton Ave, 9961 E Cornell Ave, 5560 E Jewell Ave, and 7114 E Warren Dr.",,,,,,,,,,,80222,"2,346
Sq. Ft.",Denver,41932.0,"$809,900"
3525,3550,4 Beds,5 Baths,,2005,Forced Air,"Central Air, Ceiling Fan(s)",,,,,"Family/Recreation Room Fireplace, Primary Bedroom, Basement",,2 spaces,Single Family Residence,80222,"2,998 SqFt",Denver,41932.0,"$1,350,000"
3336,3346,1 Bed,2 Baths,,2020,Heat Pump,,,,,,,,1 space,Townhouse,80223,732 SqFt,Denver,32853.0,"$409,500"
3866,3905,3 bed,1 bath,,1952.0,Forced Air,Central Air,,,,"Carpet,Tile,Wood",,Composition,1.0,Single Family Residence,80207,$376 / sq ft,Denver,41722.0,"$630,000"
3536,3563,1 Bed,1 Bath,,1930,Forced Air,Central Air,,,,,"Gas Logs Included, Living Room, Single Fireplace",,1 space,Townhouse,80202,"1,598 SqFt",Denver,31295.0,"$900,000"
430,431,Studio-2 Beds,1-2 Baths,5250 E Cherry Creek South Dr,Year Built: 1974,,,,,,,,,,Property Type: Apartment,80246,,Denver,33336.0,"$1,186 - $1,949/mo"
3331,3341,2 Beds,2 Baths,,1982,Forced Air,Central Air,,,,,Gas Logs Included,,1 space,Townhouse,80123,"1,259 SqFt",Jefferson,63482.0,"$425,000"
2968,2969,1,1,"Denver, CO 80222",1970.0,,,,,,,,,,Condo,80222,784,Denver,41932.0,"$205,000"
1366,1367,4.0,4.0,"DENVER, CO 80224",1957.0,"Forcedair, Naturalgas",Centralair,,,,"Concrete, Tile, Wood",,,1.0,Residential,80224,"3,135 SqFt.",Denver,45504.0,"$799,900"
1972,1973,1.0,1.0,"DENVER, CO 80202",2005.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Wood",,,1.0,Residential,80202,871 SqFt.,Denver,31295.0,"$595,000"
4197,4243,2 bed,2 bath,,1980.0,Forced Air,Central Air,,,,,,Composition,1.0,,80247,$301 / sq ft,Arapahoe,50411.666666666664,"$284,900"
1176,1177,2.0,1.0,"DENVER, CO 80219",1951.0,"Floorfurnace, Naturalgas",Other,,,,"Laminate, Tile",,,2.0,Residential,80219,704 SqFt.,Denver,36565.0,"$399,900"
4838,4904,2 bed,1 bath,,2020.0,Forced Air,,,,,"Tile,Wood",,,1.0,Condominium,80202,"$1,129 / sq ft",Denver,31295.0,"$1,655,000"
1476,1477,1.0,1.0,"DENVER, CO 80229",1982.0,Forcedair,None,,,,"Carpet, Linoleum",,,2.0,Residential Income,80229,640 SqFt.,Adams,43698.0,"$234,700"
4634,4691,2 bed,1 bath,,1911.0,Forced Air,,,,,Laminate,,Composition,2.0,Single Family Residence,80216,$411 / sq ft,Denver,30735.0,"$335,000"
2004,2005,3.0,2.0,"DENVER, CO 80205",1890.0,Naturalgas,Centralair,,,,Wood,,,3.0,Residential,80205,"1,526 SqFt.",Denver,28545.0,"$845,000"
102,102,1-2 Beds,1-2 Baths,"Lakewood, CO 80215",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80215,,Jefferson,42604.0,"$1,577 - $1,949/mo"
1877,1878,3.0,3.0,"DENVER, CO 80206",1904.0,Forcedair,None,,,,Wood,,,6.0,Residential,80206,"4,407 SqFt.",Denver,40879.0,"$1,300,000"
4772,4834,4 bed,2 bath,,2021.0,Forced Air,Central Air,,,,"Carpet,Laminate",,Composition,,Multi Family,80221,$186 / sq ft,Adams,39522.0,"$272,000"
1263,1264,2.0,1.0,"DENVER, CO 80216",1902.0,"Forcedair, Naturalgas",None,,,,"Carpet, Tile, Wood",,,2.0,Residential,80216,"1,162 SqFt.",Denver,30735.0,"$419,000"
3773,3809,5 bed,4 bath,,2007.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,Composition,2.0,,80210,$342 / sq ft,Denver,49953.0,"$1,150,000"
3615,3649,3 bed,1 bath,,1997.0,Forced Air,Central Air,,,,,,,1.0,,80202,$389 / sq ft,Denver,31295.0,"$1,175,000"
2348,2349,1.0,1.0,"DENVER, CO 80206",1964.0,Hotwater,None,,,,"Tile, Wood",,,1.0,Residential,80206,481 SqFt.,Denver,40879.0,"$225,000"
3034,3035,2,4,"Denver, CO 80204",2015.0,,,,,,,,,,Townhouse,80204,"1,664",Denver,28247.0,"$775,000"
3837,3875,2 bed,1 bath,,1906.0,Forced Air,Ceiling Fans,,,,Vinyl,,Composition,1.0,Single Family Residence,80221,$443 / sq ft,Adams,39522.0,"$490,000"
3269,3279,3 Beds,1 Bath,,1942,Forced Air,"Central Air, Ceiling Fan(s)",,,,,,,3 spaces,Single Family Residence,80220,891 SqFt,Denver,44475.0,"$400,000"
3143,3147,2,1,"Denver, CO 80209",2019.0,,,,,,,,,,Condo,80209,"1,077",Denver,57519.0,"$625,000"
3289,3299,1 Bed,1 Bath,,2018,Forced Air,Central Air,,,,,,,1 space,Townhouse,80209,819 SqFt,Denver,57519.0,"$495,000"
1643,1644,4.0,,"DENVER, CO 80218",1902.0,,,,,,,,,,Apartment,80218,,Denver,33162.0,
4482,4533,5 bed,1 bath,,1953.0,Forced Air,"Central Air,Evaporative Cooling",,,,,,Composition,2.0,,80220,$383 / sq ft,Denver,44475.0,"$1,390,000"
0,0,4 Beds,4 Baths,"Denver, CO 80249",Year Built: 2017,Heating: Forced Air,"Air Conditioning: Central Air,Ceiling Fan(s)",Basement: None,,"Construction Materials: Wood/Frame, Brick",Flooring: Other,,Roof: Composition,Parking Spaces: 2,Property Type: Residential,80249,,Denver,63343.0,"$550,000"
1580,1581,2.0,2.0,"DENVER, CO 80218",1923.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80218,"2,023 SqFt.",Denver,33162.0,
4399,4447,4 bed,1 bath,,1949.0,"Forced Air,NaturalGas",Evaporative Cooling,,,,"Carpet,Laminate,Wood",,Composition,2.0,Single Family Residence,80212,$455 / sq ft,Denver,37366.0,"$895,000"
4094,4135,1 bed,1 bath,,2020.0,"Forced Air,Heat Pump",Central Air,,,,,,Rubber,1.0,,80204,$608 / sq ft,Denver,28247.0,"$635,000"
1356,1357,4.0,3.0,"DENVER, CO 80222",1957.0,Forcedair,Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80222,"2,222 SqFt.",Denver,41932.0,"$729,000"
3690,3726,4 bed,1 bath,,1970.0,Forced Air,Central Air,,,,"Carpet,Tile,Wood",,Composition,2.0,Single Family Residence,80227,$195 / sq ft,Jefferson,50816.0,"$545,000"
4893,4960,4 bed,2 bath,,1890.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Wood",,Membrane,10.0,Single Family Residence,80205,$459 / sq ft,Denver,28545.0,"$4,850,000"
4460,4510,3 bed,2 bath,,1947.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Laminate,Wood",,Composition,,Single Family Residence,80219,$328 / sq ft,Denver,36565.0,"$505,000"
4359,4407,3 bed,1 bath,,1921.0,"Baseboard,Forced Air,NaturalGas",Central Air,,,,"Carpet,Wood",,Composition,2.0,Single Family Residence,80219,$330 / sq ft,Denver,36565.0,"$515,000"
3000,3001,2,2,"Denver, CO 80221",1956.0,,,,,,,,,,Single Family Residential,80221,"1,700",Adams,39522.0,"$500,000"
396,397,3 Beds,2 Baths,"Lakewood, CO 80214",Year Built: 1960,Heating: Gas,,,,,,,,,Property Type: Apartment,80214,,Jefferson,35134.0,"$1,800/mo"
3428,3442,3 Beds,3 Baths,,1966,"Baseboard, Radiant",Central Air,,,,,Living Room,,,Condominium,80209,"2,795 SqFt",Denver,57519.0,"$1,250,000"
1064,1065,2.0,4.0,"DENVER, CO 80206",1978.0,"Forcedair, Naturalgas",Centralair,,,,,,,2.0,Residential Income,80206,"2,873 SqFt.",Denver,40879.0,"$1,200,000"
2337,2338,2.0,2.0,"DENVER, CO 80202",2009.0,"Electric, Forcedair, Heatpump, Steam",Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80202,"1,258 SqFt.",Denver,31295.0,"$739,900"
2133,2134,3.0,2.0,"DENVER, CO 80221",1958.0,"Radiantfloor, Radiant",Evaporativecooling,,,,"Carpet, Laminate, Wood",,,2.0,Residential,80221,"1,615 SqFt.",Adams,39522.0,"$469,000"
818,819,,,"DENVER, CO 80207",1947.0,Forcedair,Centralair,,,,,,,2.0,Residential,80207,,Denver,41722.0,
1812,1813,3.0,3.0,"DENVER, CO 80238",2019.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80238,"1,907 SqFt.",Denver,39381.53220255654,
2527,2528,"8
Beds","4
Baths","1060 S Sheridan Boulevard #1060 1066, Denver, CO 80226","This home is located at 1060 S Sheridan Boulevard #1060 1066 Denver, Co 80226 Us and has been listed on Homes.com since 12 January 2022 and is currently priced at $875,000, approximately $261 per square foot. This property was built in 1962. 1060 S Sheridan Boulevard #1060 1066 is within the school district(s) Denver Public Schools with nearby schools including Force Elementary School, Kepner Beacon Middle School, and John F Kennedy High School. Similar properties nearby are 1060 S Sheridan Blvd, 1060 S Sheridan Blvd, 1355 Ammons St, 3069 S Fox St, 1031 Lowell Blvd 1035, 2073 W Hillside Ave, 8680 W Baker Ave, 9015 W 2nd Ave, 1590 Ames St, and 4640 W 9th Ave.",Heating Details: Forced Air,Cooling Details: Evaporative Cooling,Basement: Yes,,"Construction Materials: Brick, Wood Siding","Flooring: Carpet, Tile",,Roof: Composition,Garage: 0 0,Building Features: Duplex,80226,"3,354
Sq. Ft.",Jefferson,45012.0,"$875,000"
1552,1553,2.0,3.0,"DENVER, CO 80211",2021.0,Naturalgas,Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80211,"1,498 SqFt.",Denver,35753.0,"$680,000"
4971,5045,2 bed,1 bath,,2001.0,"Forced Air,NaturalGas",Central Air,,,,"Tile,Wood",,Rolled Hot Mop,2.0,Condominium,80237,$437 / sq ft,Denver,51612.0,"$700,000"
816,817,2.0,1.0,"DENVER, CO 80239",2000.0,Forcedair,Centralair,,,,"Tile, Wood",,,1.0,Residential,80239,960 SqFt.,Denver,44094.0,"$349,900"
1572,1573,4.0,3.0,"DENVER, CO 80221",2020.0,,,,,,,,,,Single Family Residence / Townhouse,80221,"2,008 SqFt.",Adams,39522.0,
2940,2941,1,1,"Denver, CO 80211",2019.0,,,,,,,,,,Condo,80211,535,Denver,35753.0,"$374,900"
1800,1801,2.0,3.0,"DENVER, CO 80204",2014.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80204,"1,400 SqFt.",Denver,28247.0,
4266,4313,3 bed,2 bath,,2018.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Tile,Wood",,Composition,2.0,Multi Family,80220,$410 / sq ft,Denver,44475.0,"$1,200,000"
381,382,1 Bed,1 Bath,"Denver, CO 80211",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80211,,Denver,35753.0,"$1,445/mo"
2847,2848,"4
Beds","3
Baths","Willow at The Alpine Collection at Altaira at High Point in Denver, CO 80249","This home is located in Denver, Co 80249 Us and has been listed on Homes.com since 29 April 2020 and is currently priced at $446,500, approximately $239 per square foot. Similar properties nearby are 15656 Randolph Pl, 4840 Flanders Way, 16101 E Bolling Dr, 5377 Andes St, and 4532 Malaya St.",,,,,,,,,,,80249,"1,869
Sq. Ft.",Denver,63343.0,"$446,500+"
3788,3825,3 bed,1 bath,,1953.0,Forced Air,,,,,"Carpet,Tile",,Composition,2.0,Single Family Residence,80204,$441 / sq ft,Denver,28247.0,"$550,000"
3559,3593,3 bed,2 bath,,1987.0,Forced Air,Evaporative Cooling,,,,"Carpet,Vinyl",,Composition,,Manufactured Home,80234,$53 / sq ft,Adams,53436.0,"$64,900"
3470,3486,1 Bed,1 Bath,,"New Const., 2021","Forced Air, Hot Water",Central Air,,,,,,,1 space,Multi Family,80205,516 SqFt,Denver,28545.0,"$343,500"
2815,2816,"5
Beds","4
Baths","3365 W 34th Avenue, Denver, CO 80211","This home is located at 3365 W 34th Avenue Denver, Co 80211 Us and has been listed on Homes.com since 12 January 2022 and is currently priced at $1,450,000, approximately $422 per square foot. This property was built in 1932. 3365 W 34th Avenue is within the school district(s) Denver Public Schools with nearby schools including Edison Elementary School, Skinner Middle School, and North High School. Similar properties nearby are 5051 Utica St, 457 Allison St, 1025 E 7th Ave 1, 3365 W 34th Ave, 3957 Navajo St, 3517 W 23rd Ave, 664 Elati St, and 3501 W 23rd Ave.",Heating Details: Forced Air,Cooling Details: Central Air,Basement: Yes,,"Construction Materials: Brick, Frame",,,Roof: Composition,Garage: 2 0,Building Features: House,80211,"3,434
Sq. Ft.",Denver,35753.0,"$1,450,000"
1780,1781,3.0,2.0,"DENVER, CO 80207",1948.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80207,"1,508 SqFt.",Denver,41722.0,
2700,2701,"3
Beds","2
Baths","3131 E Alameda Avenue #1301, Denver, CO 80209","This home is located at 3131 E Alameda_ Avenue #1301 Denver, Co 80209 Us and has been listed on Homes.com since 4 October 2021 and is currently priced at $580,000, approximately $314 per square foot. This property was built in 1966. 3131 E Alameda_ Avenue #1301 is within the school district(s) Denver Public Schools with nearby schools including Cory Elementary School, Merrill Middle School, and South High School. Similar properties nearby are 621 Clarkson St, 2515 Olive St, 2285 S Marion St, 1790 Quebec St, 2011 E 20th Ave, 2510 N Williams St, 1765 W Florida Ave, 2415 N Williams St, 3132 E Florida Ave, and 1555 Clermont St.",Heating Details: Baseboard,Cooling Details: Central Air,,,"Construction Materials: Block, Brick",,,Roof: Unknown,Garage: 0 0,Building Features: High Rise 8,80209,"1,846
Sq. Ft.",Denver,57519.0,"$580,000"
2414,2415,4.0,2.0,"DENVER, CO 80236",1956.0,Forcedair,None,,,,"Laminate, Tile, Wood",,,1.0,Residential,80236,"2,290 SqFt.",Denver,45121.0,"$571,000"
3557,3590,1 Bed,2 Baths,,2020,Forced Air,,,,,,,,,Townhouse,80202,913 SqFt,Denver,31295.0,"$900,000"
864,865,2.0,3.0,"DENVER, CO 80206",1985.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Laminate, Tile",,,4.0,Residential,80206,"1,274 SqFt.",Denver,40879.0,"$445,000"
4481,4532,3 bed,2 bath,,2007.0,Radiant,Central Air,,,,,,Concrete,3.0,,80206,$484 / sq ft,Denver,40879.0,"$1,895,000"
4796,4859,1 bed,0 bath,,2020.0,"Forced Air,Heat Pump",Central Air,,,,"Carpet,Tile,Wood",,,1.0,Condominium,80211,$754 / sq ft,Denver,35753.0,"$799,900"
554,555,1 Bed,1 Bath,"Denver, CO 80227",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80227,,Jefferson,50816.0,"$1,500/mo"
1159,1160,6.0,6.0,"DENVER, CO 80220",2004.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Wood",,,2.0,Residential,80220,"6,442 SqFt.",Denver,44475.0,"$3,350,000"
1213,1214,,,"DENVER, CO 80218",1890.0,,,,,,,,,5.0,Residential Income,80218,,Denver,33162.0,"$965,000"
3515,3540,1 Bed,2 Baths,,"New Const., 2020",Forced Air,Central Air,,,,,,,1 space,Townhouse,80202,995 SqFt,Denver,31295.0,"$1,095,000"
3564,3598,3 bed,1 bath,,1900.0,"Baseboard,Hot Water",Evaporative Cooling,,,,"Tile,Wood",,Composition,3.0,Single Family Residence,80212,$536 / sq ft,Denver,37366.0,"$850,000"
48,48,1-2 Beds,1-2 Baths,"Aurora, CO 80247",,,,,,,,,,,Property Type: Apartment,80247,,Arapahoe,50411.666666666664,"$1,494 - $1,855/mo"
2344,2345,2.0,3.0,"DENVER, CO 80223",2022.0,"Electric, Forcedair",Centralair,,,,"Carpet, Wood",,,1.0,Residential Income,80223,"1,532 SqFt.",Denver,32853.0,"$675,000"
700,701,4.0,2.0,"DENVER, CO 80221",1959.0,Forcedair,Centralair,,,,Vinyl,,,2.0,Residential,80221,"1,798 SqFt.",Adams,39522.0,"$549,995"
652,653,4.0,2.0,"DENVER, CO 80204",1918.0,Forcedair,None,,,,"Carpet, Tile, Wood",,,4.0,Residential,80204,"1,689 SqFt.",Denver,28247.0,"$799,000"
3128,3131,4,2,"Denver, CO 80221",1957.0,,,,,,,,,,Single Family Residential,80221,"2,236",Adams,39522.0,"$497,000"
3980,4019,5 bed,2 bath,,1908.0,Hot Water,"Ceiling Fan(s),Central Air",,,,,,Composition,2.0,,80218,$650 / sq ft,Denver,33162.0,"$4,200,000"
4041,4081,2 bed,2 bath,,1996.0,Forced Air,Central Air,,,,"Carpet,Tile,Wood",,Composition,2.0,Multi Family,80246,$351 / sq ft,Denver,33336.0,"$690,000"
748,749,5.0,3.0,"DENVER, CO 80220",1942.0,Forcedair,Centralair,,,,"Carpet, Vinyl",,,5.0,Residential,80220,"2,481 SqFt.",Denver,44475.0,"$725,000"
1455,1456,3.0,2.0,"DENVER, CO 80219",1934.0,Forcedair,None,,,,"Carpet, Tile, Wood",,,,Residential,80219,"1,456 SqFt.",Denver,36565.0,"$460,000"
4174,4220,2 bed,2 bath,,2008.0,Forced Air,Central Air,,,,"Carpet,Tile,Wood",,Tar Gravel,,Condominium,80202,$961 / sq ft,Denver,31295.0,"$2,895,000"
3977,4016,3 bed,2 bath,,1902.0,"Baseboard,Radiant Floor",,,,,"Carpet,Wood",,"Architectural,Shingle",,Single Family Residence,80203,$392 / sq ft,Denver,27444.0,"$745,000"
2292,2293,2.0,2.0,"LITTLETON, CO 80123",1996.0,Warm Air,Ac.central,,,,,,,,Condominium (residential),80123,"1,600 SqFt.",Jefferson,63482.0,
866,867,4.0,2.0,"DENVER, CO 80236",1964.0,Forcedair,Centralair,,,,"Carpet, Tile, Wood",,,1.0,Residential,80236,"2,289 SqFt.",Denver,45121.0,"$592,500"
752,753,2.0,2.0,"DENVER, CO 80249",2015.0,"Forcedair, Naturalgas",Centralair,,,,,,,2.0,Residential,80249,"1,407 SqFt.",Denver,63343.0,"$433,000"
1644,1645,4.0,2.0,"DENVER, CO 80204",1911.0,Forcedair,Centralair,,,,,,,4.0,Residential,80204,"1,661 SqFt.",Denver,28247.0,"$1,000,000"
92,92,1 Bed,1 Bath,"Denver, CO 80220",,"Heating: Forced Air, Gas",,,,,,,,,Property Type: Apartment,80220,,Denver,44475.0,"$1,297 - $1,361/mo"
4281,4328,2 bed,1 bath,,1903.0,"Baseboard,Electric",,,,,,,Composition,,Condominium,80218,$343 / sq ft,Denver,33162.0,"$365,000"
4917,4986,3 bed,2 bath,,2019.0,Forced Air,Central Air,,,,"Carpet,Laminate",,Composition,,Multi Family,80216,$204 / sq ft,Denver,30735.0,"$250,000"
2409,2410,2.0,2.0,"DENVER, CO 80205",1924.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80205,"1,512 SqFt.",Denver,28545.0,
2603,2604,"1
Bed","1
Bath","1020 15th Street #12K, Denver, CO 80202","This home is located at 1020 15th Street #12k Denver, Co 80202 Us and has been listed on Homes.com since 13 November 2021 and is currently priced at $288,000, approximately $456 per square foot. This property was built in 1967. 1020 15th Street #12k is within the school district(s) Denver Public Schools with nearby schools including Greenlee Elementary School, Strive Prep - Kepner, and West Leadership Academy. Similar properties nearby are 777 Washington St 1201, 1196 N Grant St 507, 1000 E 1st Ave 304, 1020 15th St 19d, 2120 N Downing St, 352 S Lafayette St 103, 601 W 11th Ave 515, and 1020 15th St 9g.","Heating Details: Forced Air, Natural Gas",Cooling Details: Central Air,,,"Construction Materials: Brick, Concrete, Other",Flooring: Carpet,,Roof: Tar Gravel,Garage: 0 0,Building Features: High Rise 8,80202,"632
Sq. Ft.",Denver,31295.0,"$288,000"
